"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__750_power","metricsArrayString__750_error","metricsArrayString__power_instruction","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-24T15:09:28Z","0.016","0","0.16","powerMeter","6","1","1","0","0.19482534715355312","256.6825436320335","0.545","0.21232452830188683","0"
"","0","1","0.001","","31","3","5","","","","","",""
"","0","2","0.001","","61","6","10","","","","","",""
"","0","3","0.001","","121","12","20","","","","","",""
"","0","4","0.001","","182","18","30","","","","","",""
"","0","5","0.001","","238","24","40","","","","","",""
"","0","6","0.001","","295","29","50","","","","","",""
"","0","7","0.001","","349","35","60","","","","","",""
"","0","8","0.001","","407","41","70","","","","","",""
"","0","9","0.001","","458","46","80","","","","","",""
"","0","10","0.001","","511","51","90","","","","","",""
"","0","11","0.001","","542","54","100","","","","","",""
"","0","12","0.001","","","","","","","","","",""
"","0","13","0","","","","","","","","","",""
"","0","14","0","","","","","","","","","",""
"","0","15","0","","","","","","","","","",""
"","0","16","0","","","","","","","","","",""
"","0","17","0.004","","","","","","","","","",""
"","0.001","18","0.006","","","","","","","","","",""
"","0.001","19","0.006","","","","","","","","","",""
"","0.001","20","0.006","","","","","","","","","",""
"","0.001","21","0.007","","","","","","","","","",""
"","0.002","22","0.016","","","","","","","","","",""
"","0.003","23","0.027","","","","","","","","","",""
"","0.003","24","0.031","","","","","","","","","",""
"","0.003","25","0.031","","","","","","","","","",""
"","0.003","26","0.031","","","","","","","","","",""
"","0.004","27","0.041","","","","","","","","","",""
"","0.006","28","0.057","","","","","","","","","",""
"","0.006","29","0.06","","","","","","","","","",""
"","0.006","30","0.061","","","","","","","","","",""
"","0.006","31","0.061","","","","","","","","","",""
"","0.006","32","0.061","","","","","","","","","",""
"","0.007","33","0.072","","","","","","","","","",""
"","0.011","34","0.106","","","","","","","","","",""
"","0.012","35","0.115","","","","","","","","","",""
"","0.012","36","0.12","","","","","","","","","",""
"","0.012","37","0.121","","","","","","","","","",""
"","0.012","38","0.121","","","","","","","","","",""
"","0.012","39","0.122","","","","","","","","","",""
"","0.015","40","0.153","","","","","","","","","",""
"","0.017","41","0.171","","","","","","","","","",""
"","0.018","42","0.178","","","","","","","","","",""
"","0.018","43","0.181","","","","","","","","","",""
"","0.018","44","0.182","","","","","","","","","",""
"","0.018","45","0.182","","","","","","","","","",""
"","0.019","46","0.185","","","","","","","","","",""
"","0.022","47","0.22","","","","","","","","","",""
"","0.024","48","0.235","","","","","","","","","",""
"","0.024","49","0.236","","","","","","","","","",""
"","0.024","50","0.238","","","","","","","","","",""
"","0.024","51","0.239","","","","","","","","","",""
"","0.025","52","0.249","","","","","","","","","",""
"","0.029","53","0.293","","","","","","","","","",""
"","0.03","54","0.296","","","","","","","","","",""
"","0.029","55","0.295","","","","","","","","","",""
"","0.029","56","0.295","","","","","","","","","",""
"","0.033","57","0.329","","","","","","","","","",""
"","0.035","58","0.349","","","","","","","","","",""
"","0.035","59","0.348","","","","","","","","","",""
"","0.035","60","0.349","","","","","","","","","",""
"","0.035","61","0.349","","","","","","","","","",""
"","0.036","62","0.363","","","","","","","","","",""
"","0.04","63","0.405","","","","","","","","","",""
"","0.041","64","0.409","","","","","","","","","",""
"","0.041","65","0.407","","","","","","","","","",""
"","0.041","66","0.408","","","","","","","","","",""
"","0.045","67","0.447","","","","","","","","","",""
"","0.046","68","0.458","","","","","","","","","",""
"","0.046","69","0.458","","","","","","","","","",""
"","0.046","70","0.461","","","","","","","","","",""
"","0.047","71","0.472","","","","","","","","","",""
"","0.051","72","0.513","","","","","","","","","",""
"","0.052","73","0.515","","","","","","","","","",""
"","0.051","74","0.512","","","","","","","","","",""
"","0.051","75","0.507","","","","","","","","","",""
"","0.051","76","0.511","","","","","","","","","",""
"","0.051","77","0.513","","","","","","","","","",""
"","0.053","78","0.529","","","","","","","","","",""
"","0.054","79","0.542","","","","","","","","","",""
"","0.054","80","0.544","","","","","","","","","",""
"","0.054","81","0.542","","","","","","","","","",""
"","0.054","82","0.543","","","","","","","","","",""
"","0.055","83","0.545","","","","","","","","","",""
